dataset	model	subset	position	c_begin	c_end	layer_range	w	seed	gamma	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	13	0.8	0.10344827586206896	0.5517241379310345	0.08333333333333333	0.5
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	13	0.9	0.10344827586206896	0.5517241379310345	0.08333333333333333	0.5
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	13	1.0	0.10344827586206896	0.5517241379310345	0.08333333333333333	0.5
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	14	0.0	0.3793103448275862	0.6551724137931034	0.25	0.75
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	14	0.1	0.3793103448275862	0.6551724137931034	0.25	0.75
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	14	0.2	0.3103448275862069	0.6551724137931034	0.25	0.75
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	14	0.3	0.2413793103448276	0.6551724137931034	0.25	0.75
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	14	0.4	0.2413793103448276	0.6551724137931034	0.25	0.75
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	14	0.5	0.20689655172413793	0.6206896551724138	0.25	0.75
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	14	0.6	0.13793103448275862	0.5517241379310345	0.08333333333333333	0.75
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	14	0.7	0.10344827586206896	0.5517241379310345	0.08333333333333333	0.75
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	14	0.8	0.10344827586206896	0.5517241379310345	0.08333333333333333	0.75
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	14	0.9	0.06896551724137931	0.5172413793103449	0.08333333333333333	0.75
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	14	1.0	0.06896551724137931	0.4827586206896552	0.08333333333333333	0.75
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	15	0.0	0.27586206896551724	0.7241379310344828	0.16666666666666666	0.5833333333333334
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	15	0.1	0.3103448275862069	0.7241379310344828	0.16666666666666666	0.5
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	15	0.2	0.3103448275862069	0.7241379310344828	0.16666666666666666	0.5
