column	with_gt	judge	method	step_acc	agent_acc	n_subsets	family	train_seed
TE-Cap	True	qwen3-embedding-0.6b	stepfinder.s45	0.14728682170542637	0.49612403100775193	1	stepfinder	45
TE-Cap	True	qwen3-embedding-0.6b	stepfinder.s46	0.1317829457364341	0.5038759689922481	1	stepfinder	46
TE-Cap	True	qwen3.5-9b	oat.s42	0.18604651162790697	0.5116279069767442	1	oat	42
TE-Cap	True	qwen3.5-9b	oat.s43	0.14728682170542637	0.4883720930232558	1	oat	43
TE-Cap	True	qwen3.5-9b	oat.s44	0.18604651162790697	0.49612403100775193	1	oat	44
TE-Cap	True	qwen3.5-9b	oat.s45	0.186046511627907	0.5116279069767442	1	oat	45
TE-Cap	True	qwen3.5-9b	oat.s46	0.1937984496124031	0.5348837209302325	1	oat	46
TE-Cap	True	qwen3.5-9b	stepfinder.s42	0.11627906976744186	0.40310077519379844	1	stepfinder	42
TE-Cap	True	qwen3.5-9b	stepfinder.s43	0.17054263565891473	0.48062015503875966	1	stepfinder	43
TE-Cap	True	qwen3.5-9b	stepfinder.s44	0.12403100775193798	0.42635658914728686	1	stepfinder	44
TE-Cap	True	qwen3.5-9b	stepfinder.s45	0.13953488372093023	0.40310077519379844	1	stepfinder	45
TE-Cap	True	qwen3.5-9b	stepfinder.s46	0.13178294573643412	0.4108527131782946	1	stepfinder	46
TE-Mag	False	deepseek-8b	oat.s42	0.13768115942028986	0.6521739130434783	1	oat	42
TE-Mag	False	deepseek-8b	oat.s43	0.13043478260869565	0.6376811594202899	1	oat	43
TE-Mag	False	deepseek-8b	oat.s44	0.13043478260869565	0.6159420289855073	1	oat	44
TE-Mag	False	deepseek-8b	oat.s45	0.12318840579710144	0.6231884057971014	1	oat	45
TE-Mag	False	deepseek-8b	oat.s46	0.13043478260869565	0.6666666666666666	1	oat	46
TE-Mag	False	deepseek-8b	stepfinder.s42	0.057971014492753624	0.5942028985507246	1	stepfinder	42
TE-Mag	False	deepseek-8b	stepfinder.s43	0.0	0.3043478260869565	1	stepfinder	43
TE-Mag	False	deepseek-8b	stepfinder.s44	0.028985507246376812	0.41304347826086957	1	stepfinder	44
TE-Mag	False	deepseek-8b	stepfinder.s45	0.07246376811594203	0.5	1	stepfinder	45
TE-Mag	False	deepseek-8b	stepfinder.s46	0.050724637681159424	0.31884057971014496	1	stepfinder	46
TE-Mag	False	qwen3-embedding-0.6b	stepfinder.s42	0.2318840579710145	0.6811594202898551	1	stepfinder	42
TE-Mag	False	qwen3-embedding-0.6b	stepfinder.s43	0.24637681159420288	0.7536231884057972	1	stepfinder	43
TE-Mag	False	qwen3-embedding-0.6b	stepfinder.s44	0.11594202898550725	0.6159420289855073	1	stepfinder	44
TE-Mag	False	qwen3-embedding-0.6b	stepfinder.s45	0.21739130434782608	0.7318840579710145	1	stepfinder	45
TE-Mag	False	qwen3-embedding-0.6b	stepfinder.s46	0.24637681159420288	0.7608695652173912	1	stepfinder	46
TE-Mag	False	qwen3.5-9b	oat.s42	0.19565217391304346	0.6014492753623188	1	oat	42
TE-Mag	False	qwen3.5-9b	oat.s43	0.1884057971014493	0.6231884057971014	1	oat	43
TE-Mag	False	qwen3.5-9b	oat.s44	0.1884057971014493	0.6594202898550724	1	oat	44
TE-Mag	False	qwen3.5-9b	oat.s45	0.19565217391304346	0.6159420289855072	1	oat	45
TE-Mag	False	qwen3.5-9b	oat.s46	0.17391304347826086	0.6014492753623188	1	oat	46
TE-Mag	False	qwen3.5-9b	stepfinder.s42	0.09420289855072463	0.6014492753623188	1	stepfinder	42
TE-Mag	False	qwen3.5-9b	stepfinder.s43	0.043478260869565216	0.5144927536231884	1	stepfinder	43
TE-Mag	False	qwen3.5-9b	stepfinder.s44	0.07246376811594203	0.5942028985507246	1	stepfinder	44
TE-Mag	False	qwen3.5-9b	stepfinder.s45	0.07971014492753624	0.6304347826086957	1	stepfinder	45
TE-Mag	False	qwen3.5-9b	stepfinder.s46	0.043478260869565216	0.5507246376811594	1	stepfinder	46
TE-Mag	True	deepseek-8b	oat.s42	0.16666666666666666	0.6811594202898551	1	oat	42
TE-Mag	True	deepseek-8b	oat.s43	0.13768115942028986	0.6739130434782609	1	oat	43
TE-Mag	True	deepseek-8b	oat.s44	0.13043478260869565	0.6666666666666666	1	oat	44
TE-Mag	True	deepseek-8b	oat.s45	0.12318840579710144	0.6811594202898551	1	oat	45
TE-Mag	True	deepseek-8b	oat.s46	0.13043478260869565	0.6811594202898551	1	oat	46
TE-Mag	True	deepseek-8b	stepfinder.s42	0.07971014492753624	0.6666666666666666	1	stepfinder	42
TE-Mag	True	deepseek-8b	stepfinder.s43	0.014492753623188406	0.4275362318840579	1	stepfinder	43
TE-Mag	True	deepseek-8b	stepfinder.s44	0.057971014492753624	0.5217391304347826	1	stepfinder	44
TE-Mag	True	deepseek-8b	stepfinder.s45	0.07971014492753624	0.47826086956521735	1	stepfinder	45
TE-Mag	True	deepseek-8b	stepfinder.s46	0.07971014492753624	0.4492753623188406	1	stepfinder	46
TE-Mag	True	qwen3-embedding-0.6b	stepfinder.s42	0.1956521739130435	0.717391304347826	1	stepfinder	42
TE-Mag	True	qwen3-embedding-0.6b	stepfinder.s43	0.2246376811594203	0.782608695652174	1	stepfinder	43
TE-Mag	True	qwen3-embedding-0.6b	stepfinder.s44	0.08695652173913043	0.6231884057971014	1	stepfinder	44
TE-Mag	True	qwen3-embedding-0.6b	stepfinder.s45	0.15217391304347827	0.7028985507246377	1	stepfinder	45
TE-Mag	True	qwen3-embedding-0.6b	stepfinder.s46	0.2028985507246377	0.746376811594203	1	stepfinder	46
TE-Mag	True	qwen3.5-9b	oat.s42	0.18840579710144925	0.6811594202898551	1	oat	42
TE-Mag	True	qwen3.5-9b	oat.s43	0.21739130434782608	0.717391304347826	1	oat	43
TE-Mag	True	qwen3.5-9b	oat.s44	0.18115942028985507	0.717391304347826	1	oat	44
TE-Mag	True	qwen3.5-9b	oat.s45	0.2028985507246377	0.7101449275362318	1	oat	45
TE-Mag	True	qwen3.5-9b	oat.s46	0.2101449275362319	0.6739130434782609	1	oat	46
TE-Mag	True	qwen3.5-9b	stepfinder.s42	0.09420289855072463	0.6231884057971014	1	stepfinder	42
TE-Mag	True	qwen3.5-9b	stepfinder.s43	0.07971014492753624	0.5652173913043478	1	stepfinder	43
TE-Mag	True	qwen3.5-9b	stepfinder.s44	0.08695652173913043	0.6086956521739131	1	stepfinder	44
TE-Mag	True	qwen3.5-9b	stepfinder.s45	0.10869565217391304	0.6304347826086957	1	stepfinder	45
TE-Mag	True	qwen3.5-9b	stepfinder.s46	0.07971014492753624	0.5652173913043478	1	stepfinder	46
